cell	count(cell)	drug	count(drug)	count(cell,drug)	ratio(by drug)	ratio(bycell)
NCI-H2085	90	ESR1_3	144	0	0	0
HCC1937	139	ESR1_3	144	0	0	0
LS-513	123	ESR1_3	144	0	0	0
HCC1569	52	ESR1_3	144	4	0.0277777777777778	0.0769230769230769
NCI-H1975	91	ESR1_3	144	0	0	0
MFM-223	138	ESR1_3	144	0	0	0
Calu-3	57	ESR1_3	144	0	0	0
BFTC-905	186	ESR1_3	144	0	0	0
J82	195	ESR1_3	144	0	0	0
C32	76	ESR1_3	144	0	0	0
T47D	365	ESR1_3	144	13	0.0902777777777778	0.0356164383561644
NCI-H2228	85	ESR1_3	144	0	0	0
A549	87	ESR1_3	144	0	0	0
BT-474	435	ESR1_3	144	14	0.0972222222222222	0.032183908045977
NCI-H3122	70	ESR1_3	144	0	0	0
MDA-MB-157	190	ESR1_3	144	4	0.0277777777777778	0.0210526315789474
SW900	87	ESR1_3	144	0	0	0
UACC-812	340	ESR1_3	144	10	0.0694444444444444	0.0294117647058824
KU-19-19	68	ESR1_3	144	0	0	0
BT-20	192	ESR1_3	144	4	0.0277777777777778	0.0208333333333333
MDA-MB-436	187	ESR1_3	144	1	0.00694444444444444	0.0053475935828877
RKO	63	ESR1_3	144	0	0	0
M14	129	ESR1_3	144	0	0	0
T-24	188	ESR1_3	144	0	0	0
NCI-H2291	89	ESR1_3	144	0	0	0
SW837	104	ESR1_3	144	0	0	0
MDA-MB-415	52	ESR1_3	144	4	0.0277777777777778	0.0769230769230769
VCaP	29	ESR1_3	144	0	0	0
MDA-MB-453	188	ESR1_3	144	3	0.0208333333333333	0.0159574468085106
HCC1143	136	ESR1_3	144	0	0	0
HCC70	180	ESR1_3	144	4	0.0277777777777778	0.0222222222222222
CAL-51	140	ESR1_3	144	0	0	0
22RV1	26	ESR1_3	144	0	0	0
HCC1806	140	ESR1_3	144	0	0	0
HT-1197	168	ESR1_3	144	0	0	0
KATOIII	27	BRAF_VEGFR2	73	1	0.0136986301369863	0.037037037037037
Hs-578-T	127	BRAF_VEGFR2	73	0	0	0
CAMA-1	427	BRAF_VEGFR2	73	8	0.10958904109589	0.0187353629976581
MDA-MB-361	451	BRAF_VEGFR2	73	9	0.123287671232877	0.0199556541019956
NCI-H23	85	BRAF_VEGFR2	73	0	0	0
SW780	181	BRAF_VEGFR2	73	1	0.0136986301369863	0.00552486187845304
SW48	124	BRAF_VEGFR2	73	0	0	0
MDA-MB-175-VII	88	BRAF_VEGFR2	73	2	0.0273972602739726	0.0227272727272727
HT-1376	170	BRAF_VEGFR2	73	0	0	0
CAL-148	138	BRAF_VEGFR2	73	0	0	0
KMS-11	19	BRAF_VEGFR2	73	1	0.0136986301369863	0.0526315789473684
VM-CUB-1	128	BRAF_VEGFR2	73	0	0	0
DMS-114	110	BRAF_VEGFR2	73	1	0.0136986301369863	0.00909090909090909
SW948	95	BRAF_VEGFR2	73	0	0	0
HCC1187	189	BRAF_VEGFR2	73	0	0	0
NCI-H520	111	BRAF_VEGFR2	73	1	0.0136986301369863	0.00900900900900901
HCC38	137	BRAF_VEGFR2	73	0	0	0
MDA-MB-231	140	BRAF_VEGFR2	73	0	0	0
NCI-H226	79	BRAF_VEGFR2	73	0	0	0
SW620	106	BRAF_VEGFR2	73	0	0	0
HCC1500	375	BRAF_VEGFR2	73	10	0.136986301369863	0.0266666666666667
MDA-MB-468	181	BRAF_VEGFR2	73	0	0	0
NCI-H358	91	BRAF_VEGFR2	73	0	0	0
HT-29	84	BRAF_VEGFR2	73	0	0	0
EVSA-T	35	BRAF_VEGFR2	73	0	0	0
647-V	191	BRAF_VEGFR2	73	0	0	0
NCI-H747	110	BRAF_VEGFR2	73	0	0	0
NCI-H1437	89	BRAF_VEGFR2	73	0	0	0
HCC1428	136	BRAF_VEGFR2	73	0	0	0
NCI-H1703	118	BRAF_VEGFR2	73	1	0.0136986301369863	0.00847457627118644
HCC1419	262	BRAF_VEGFR2	73	1	0.0136986301369863	0.00381679389312977
NCI-H838	84	BRAF_VEGFR2	73	0	0	0
NCI-H2170	77	BRAF_VEGFR2	73	0	0	0
HCT-116	63	BRAF_VEGFR2	73	0	0	0
NCI-H1563	65	BRAF_VEGFR2	73	0	0	0
NCI-H1793	91	BRAF_VEGFR2	73	0	0	0
MCF7	404	BRAF_VEGFR2	73	8	0.10958904109589	0.0198019801980198
HCC1395	183	BRAF_VEGFR2	73	0	0	0
NCI-H1299	91	BRAF_VEGFR2	73	0	0	0
COLO-205	123	BRAF_VEGFR2	73	0	0	0
UM-UC-3	196	BRAF_VEGFR2	73	0	0	0
NCI-SNU-16	26	BRAF_VEGFR2	73	1	0.0136986301369863	0.0384615384615385
BT-549	139	BRAF_VEGFR2	73	0	0	0
NCI-H522	88	BRAF_VEGFR2	73	0	0	0
Calu-6	87	BRAF_VEGFR2	73	0	0	0
TCCSUP	193	BRAF_VEGFR2	73	0	0	0
RT4	27	BRAF_VEGFR2	73	1	0.0136986301369863	0.037037037037037
CAL-120	158	BRAF_VEGFR2	73	1	0.0136986301369863	0.00632911392405063
DU-4475	125	BRAF_VEGFR2	73	0	0	0
HCC1954	50	BRAF_VEGFR2	73	0	0	0
NCI-H2085	90	BRAF_VEGFR2	73	0	0	0
HCC1937	139	BRAF_VEGFR2	73	0	0	0
LS-513	123	BRAF_VEGFR2	73	0	0	0
HCC1569	52	BRAF_VEGFR2	73	0	0	0
NCI-H1975	91	BRAF_VEGFR2	73	0	0	0
MFM-223	138	BRAF_VEGFR2	73	0	0	0
Calu-3	57	BRAF_VEGFR2	73	0	0	0
BFTC-905	186	BRAF_VEGFR2	73	0	0	0
J82	195	BRAF_VEGFR2	73	0	0	0
C32	76	BRAF_VEGFR2	73	0	0	0
T47D	365	BRAF_VEGFR2	73	7	0.0958904109589041	0.0191780821917808
NCI-H2228	85	BRAF_VEGFR2	73	0	0	0
A549	87	BRAF_VEGFR2	73	0	0	0
BT-474	435	BRAF_VEGFR2	73	9	0.123287671232877	0.0206896551724138
NCI-H3122	70	BRAF_VEGFR2	73	0	0	0
MDA-MB-157	190	BRAF_VEGFR2	73	0	0	0
SW900	87	BRAF_VEGFR2	73	0	0	0
UACC-812	340	BRAF_VEGFR2	73	10	0.136986301369863	0.0294117647058824
KU-19-19	68	BRAF_VEGFR2	73	0	0	0
BT-20	192	BRAF_VEGFR2	73	0	0	0
MDA-MB-436	187	BRAF_VEGFR2	73	0	0	0
RKO	63	BRAF_VEGFR2	73	0	0	0
M14	129	BRAF_VEGFR2	73	0	0	0
T-24	188	BRAF_VEGFR2	73	0	0	0
NCI-H2291	89	BRAF_VEGFR2	73	0	0	0
SW837	104	BRAF_VEGFR2	73	0	0	0
MDA-MB-415	52	BRAF_VEGFR2	73	0	0	0
VCaP	29	BRAF_VEGFR2	73	0	0	0
MDA-MB-453	188	BRAF_VEGFR2	73	0	0	0
HCC1143	136	BRAF_VEGFR2	73	0	0	0
HCC70	180	BRAF_VEGFR2	73	0	0	0
CAL-51	140	BRAF_VEGFR2	73	0	0	0
22RV1	26	BRAF_VEGFR2	73	0	0	0
HCC1806	140	BRAF_VEGFR2	73	0	0	0
HT-1197	168	BRAF_VEGFR2	73	0	0	0
KATOIII	27	SYK	55	0	0	0
Hs-578-T	127	SYK	55	0	0	0
CAMA-1	427	SYK	55	0	0	0
MDA-MB-361	451	SYK	55	0	0	0
NCI-H23	85	SYK	55	2	0.0363636363636364	0.0235294117647059
SW780	181	SYK	55	0	0	0
SW48	124	SYK	55	0	0	0
MDA-MB-175-VII	88	SYK	55	0	0	0
HT-1376	170	SYK	55	0	0	0
CAL-148	138	SYK	55	0	0	0
KMS-11	19	SYK	55	0	0	0
VM-CUB-1	128	SYK	55	0	0	0
DMS-114	110	SYK	55	3	0.0545454545454545	0.0272727272727273
SW948	95	SYK	55	0	0	0
HCC1187	189	SYK	55	0	0	0
NCI-H520	111	SYK	55	3	0.0545454545454545	0.027027027027027
HCC38	137	SYK	55	0	0	0
MDA-MB-231	140	SYK	55	0	0	0
NCI-H226	79	SYK	55	3	0.0545454545454545	0.0379746835443038
SW620	106	SYK	55	0	0	0
HCC1500	375	SYK	55	0	0	0
MDA-MB-468	181	SYK	55	0	0	0
NCI-H358	91	SYK	55	3	0.0545454545454545	0.032967032967033
HT-29	84	SYK	55	0	0	0
EVSA-T	35	SYK	55	0	0	0
647-V	191	SYK	55	0	0	0
NCI-H747	110	SYK	55	0	0	0
NCI-H1437	89	SYK	55	2	0.0363636363636364	0.0224719101123595
HCC1428	136	SYK	55	0	0	0
NCI-H1703	118	SYK	55	3	0.0545454545454545	0.0254237288135593
HCC1419	262	SYK	55	0	0	0
NCI-H838	84	SYK	55	2	0.0363636363636364	0.0238095238095238
NCI-H2170	77	SYK	55	1	0.0181818181818182	0.012987012987013
HCT-116	63	SYK	55	0	0	0
NCI-H1563	65	SYK	55	2	0.0363636363636364	0.0307692307692308
NCI-H1793	91	SYK	55	3	0.0545454545454545	0.032967032967033
MCF7	404	SYK	55	0	0	0
HCC1395	183	SYK	55	0	0	0
NCI-H1299	91	SYK	55	3	0.0545454545454545	0.032967032967033
COLO-205	123	SYK	55	0	0	0
UM-UC-3	196	SYK	55	0	0	0
NCI-SNU-16	26	SYK	55	0	0	0
BT-549	139	SYK	55	0	0	0
NCI-H522	88	SYK	55	3	0.0545454545454545	0.0340909090909091
Calu-6	87	SYK	55	3	0.0545454545454545	0.0344827586206897
TCCSUP	193	SYK	55	0	0	0
RT4	27	SYK	55	0	0	0
CAL-120	158	SYK	55	0	0	0
DU-4475	125	SYK	55	0	0	0
HCC1954	50	SYK	55	0	0	0
NCI-H2085	90	SYK	55	3	0.0545454545454545	0.0333333333333333
HCC1937	139	SYK	55	0	0	0
LS-513	123	SYK	55	0	0	0
HCC1569	52	SYK	55	0	0	0
NCI-H1975	91	SYK	55	3	0.0545454545454545	0.032967032967033
MFM-223	138	SYK	55	0	0	0
Calu-3	57	SYK	55	1	0.0181818181818182	0.0175438596491228
BFTC-905	186	SYK	55	0	0	0
J82	195	SYK	55	0	0	0
C32	76	SYK	55	0	0	0
T47D	365	SYK	55	0	0	0
NCI-H2228	85	SYK	55	3	0.0545454545454545	0.0352941176470588
A549	87	SYK	55	3	0.0545454545454545	0.0344827586206897
BT-474	435	SYK	55	0	0	0
NCI-H3122	70	SYK	55	1	0.0181818181818182	0.0142857142857143
MDA-MB-157	190	SYK	55	0	0	0
SW900	87	SYK	55	2	0.0363636363636364	0.0229885057471264
UACC-812	340	SYK	55	0	0	0
KU-19-19	68	SYK	55	0	0	0
BT-20	192	SYK	55	0	0	0
MDA-MB-436	187	SYK	55	0	0	0
RKO	63	SYK	55	0	0	0
M14	129	SYK	55	0	0	0
T-24	188	SYK	55	0	0	0
NCI-H2291	89	SYK	55	3	0.0545454545454545	0.0337078651685393
SW837	104	SYK	55	0	0	0
MDA-MB-415	52	SYK	55	0	0	0
VCaP	29	SYK	55	0	0	0
MDA-MB-453	188	SYK	55	0	0	0
HCC1143	136	SYK	55	0	0	0
HCC70	180	SYK	55	0	0	0
CAL-51	140	SYK	55	0	0	0
22RV1	26	SYK	55	0	0	0
HCC1806	140	SYK	55	0	0	0
HT-1197	168	SYK	55	0	0	0
KATOIII	27	AKT_PIK3C	61	0	0	0
Hs-578-T	127	AKT_PIK3C	61	0	0	0
CAMA-1	427	AKT_PIK3C	61	3	0.0491803278688525	0.00702576112412178
MDA-MB-361	451	AKT_PIK3C	61	11	0.180327868852459	0.024390243902439
NCI-H23	85	AKT_PIK3C	61	0	0	0
SW780	181	AKT_PIK3C	61	0	0	0
SW48	124	AKT_PIK3C	61	0	0	0
MDA-MB-175-VII	88	AKT_PIK3C	61	0	0	0
HT-1376	170	AKT_PIK3C	61	0	0	0
CAL-148	138	AKT_PIK3C	61	0	0	0
KMS-11	19	AKT_PIK3C	61	0	0	0
VM-CUB-1	128	AKT_PIK3C	61	0	0	0
DMS-114	110	AKT_PIK3C	61	0	0	0
SW948	95	AKT_PIK3C	61	0	0	0
HCC1187	189	AKT_PIK3C	61	0	0	0
NCI-H520	111	AKT_PIK3C	61	0	0	0
HCC38	137	AKT_PIK3C	61	0	0	0
MDA-MB-231	140	AKT_PIK3C	61	0	0	0
NCI-H226	79	AKT_PIK3C	61	0	0	0
SW620	106	AKT_PIK3C	61	0	0	0
HCC1500	375	AKT_PIK3C	61	10	0.163934426229508	0.0266666666666667
MDA-MB-468	181	AKT_PIK3C	61	0	0	0
NCI-H358	91	AKT_PIK3C	61	0	0	0
HT-29	84	AKT_PIK3C	61	0	0	0
EVSA-T	35	AKT_PIK3C	61	0	0	0
647-V	191	AKT_PIK3C	61	0	0	0
NCI-H747	110	AKT_PIK3C	61	0	0	0
NCI-H1437	89	AKT_PIK3C	61	0	0	0
HCC1428	136	AKT_PIK3C	61	0	0	0
NCI-H1703	118	AKT_PIK3C	61	0	0	0
HCC1419	262	AKT_PIK3C	61	7	0.114754098360656	0.0267175572519084
NCI-H838	84	AKT_PIK3C	61	0	0	0
NCI-H2170	77	AKT_PIK3C	61	0	0	0
HCT-116	63	AKT_PIK3C	61	0	0	0
NCI-H1563	65	AKT_PIK3C	61	0	0	0
NCI-H1793	91	AKT_PIK3C	61	0	0	0
MCF7	404	AKT_PIK3C	61	8	0.131147540983607	0.0198019801980198
HCC1395	183	AKT_PIK3C	61	0	0	0
NCI-H1299	91	AKT_PIK3C	61	0	0	0
COLO-205	123	AKT_PIK3C	61	0	0	0
UM-UC-3	196	AKT_PIK3C	61	0	0	0
NCI-SNU-16	26	AKT_PIK3C	61	0	0	0
BT-549	139	AKT_PIK3C	61	0	0	0
NCI-H522	88	AKT_PIK3C	61	0	0	0
Calu-6	87	AKT_PIK3C	61	0	0	0
TCCSUP	193	AKT_PIK3C	61	0	0	0
RT4	27	AKT_PIK3C	61	0	0	0
CAL-120	158	AKT_PIK3C	61	0	0	0
DU-4475	125	AKT_PIK3C	61	0	0	0
HCC1954	50	AKT_PIK3C	61	0	0	0
NCI-H2085	90	AKT_PIK3C	61	0	0	0
HCC1937	139	AKT_PIK3C	61	0	0	0
LS-513	123	AKT_PIK3C	61	0	0	0
HCC1569	52	AKT_PIK3C	61	0	0	0
NCI-H1975	91	AKT_PIK3C	61	0	0	0
MFM-223	138	AKT_PIK3C	61	0	0	0
Calu-3	57	AKT_PIK3C	61	0	0	0
BFTC-905	186	AKT_PIK3C	61	0	0	0
J82	195	AKT_PIK3C	61	0	0	0
C32	76	AKT_PIK3C	61	0	0	0
T47D	365	AKT_PIK3C	61	7	0.114754098360656	0.0191780821917808
NCI-H2228	85	AKT_PIK3C	61	0	0	0
A549	87	AKT_PIK3C	61	0	0	0
BT-474	435	AKT_PIK3C	61	11	0.180327868852459	0.0252873563218391
NCI-H3122	70	AKT_PIK3C	61	0	0	0
MDA-MB-157	190	AKT_PIK3C	61	0	0	0
SW900	87	AKT_PIK3C	61	0	0	0
UACC-812	340	AKT_PIK3C	61	4	0.0655737704918033	0.0117647058823529
KU-19-19	68	AKT_PIK3C	61	0	0	0
BT-20	192	AKT_PIK3C	61	0	0	0
MDA-MB-436	187	AKT_PIK3C	61	0	0	0
RKO	63	AKT_PIK3C	61	0	0	0
M14	129	AKT_PIK3C	61	0	0	0
T-24	188	AKT_PIK3C	61	0	0	0
NCI-H2291	89	AKT_PIK3C	61	0	0	0
SW837	104	AKT_PIK3C	61	0	0	0
MDA-MB-415	52	AKT_PIK3C	61	0	0	0
VCaP	29	AKT_PIK3C	61	0	0	0
MDA-MB-453	188	AKT_PIK3C	61	0	0	0
HCC1143	136	AKT_PIK3C	61	0	0	0
HCC70	180	AKT_PIK3C	61	0	0	0
CAL-51	140	AKT_PIK3C	61	0	0	0
22RV1	26	AKT_PIK3C	61	0	0	0
HCC1806	140	AKT_PIK3C	61	0	0	0
HT-1197	168	AKT_PIK3C	61	0	0	0
KATOIII	27	PTK2_2	36	0	0	0
Hs-578-T	127	PTK2_2	36	0	0	0
CAMA-1	427	PTK2_2	36	0	0	0
MDA-MB-361	451	PTK2_2	36	0	0	0
NCI-H23	85	PTK2_2	36	0	0	0
SW780	181	PTK2_2	36	0	0	0
SW48	124	PTK2_2	36	4	0.111111111111111	0.032258064516129
MDA-MB-175-VII	88	PTK2_2	36	0	0	0
HT-1376	170	PTK2_2	36	0	0	0
CAL-148	138	PTK2_2	36	0	0	0
KMS-11	19	PTK2_2	36	0	0	0
VM-CUB-1	128	PTK2_2	36	0	0	0
DMS-114	110	PTK2_2	36	0	0	0
SW948	95	PTK2_2	36	4	0.111111111111111	0.0421052631578947
HCC1187	189	PTK2_2	36	0	0	0
NCI-H520	111	PTK2_2	36	0	0	0
HCC38	137	PTK2_2	36	0	0	0
MDA-MB-231	140	PTK2_2	36	0	0	0
NCI-H226	79	PTK2_2	36	0	0	0
SW620	106	PTK2_2	36	4	0.111111111111111	0.0377358490566038
HCC1500	375	PTK2_2	36	0	0	0
MDA-MB-468	181	PTK2_2	36	0	0	0
NCI-H358	91	PTK2_2	36	0	0	0
HT-29	84	PTK2_2	36	3	0.0833333333333333	0.0357142857142857
EVSA-T	35	PTK2_2	36	0	0	0
647-V	191	PTK2_2	36	0	0	0
NCI-H747	110	PTK2_2	36	4	0.111111111111111	0.0363636363636364
NCI-H1437	89	PTK2_2	36	0	0	0
HCC1428	136	PTK2_2	36	0	0	0
NCI-H1703	118	PTK2_2	36	0	0	0
HCC1419	262	PTK2_2	36	0	0	0
NCI-H838	84	PTK2_2	36	0	0	0
NCI-H2170	77	PTK2_2	36	0	0	0
HCT-116	63	PTK2_2	36	1	0.0277777777777778	0.0158730158730159
NCI-H1563	65	PTK2_2	36	0	0	0
NCI-H1793	91	PTK2_2	36	0	0	0
MCF7	404	PTK2_2	36	0	0	0
HCC1395	183	PTK2_2	36	0	0	0
NCI-H1299	91	PTK2_2	36	0	0	0
COLO-205	123	PTK2_2	36	4	0.111111111111111	0.032520325203252
UM-UC-3	196	PTK2_2	36	0	0	0
NCI-SNU-16	26	PTK2_2	36	0	0	0
BT-549	139	PTK2_2	36	0	0	0
NCI-H522	88	PTK2_2	36	0	0	0
Calu-6	87	PTK2_2	36	0	0	0
TCCSUP	193	PTK2_2	36	0	0	0
RT4	27	PTK2_2	36	0	0	0
CAL-120	158	PTK2_2	36	0	0	0
DU-4475	125	PTK2_2	36	0	0	0
HCC1954	50	PTK2_2	36	0	0	0
NCI-H2085	90	PTK2_2	36	0	0	0
HCC1937	139	PTK2_2	36	0	0	0
LS-513	123	PTK2_2	36	4	0.111111111111111	0.032520325203252
HCC1569	52	PTK2_2	36	0	0	0
NCI-H1975	91	PTK2_2	36	0	0	0
MFM-223	138	PTK2_2	36	0	0	0
Calu-3	57	PTK2_2	36	0	0	0
BFTC-905	186	PTK2_2	36	0	0	0
J82	195	PTK2_2	36	0	0	0
C32	76	PTK2_2	36	3	0.0833333333333333	0.0394736842105263
T47D	365	PTK2_2	36	0	0	0
NCI-H2228	85	PTK2_2	36	0	0	0
A549	87	PTK2_2	36	0	0	0
BT-474	435	PTK2_2	36	0	0	0
NCI-H3122	70	PTK2_2	36	0	0	0
MDA-MB-157	190	PTK2_2	36	0	0	0
SW900	87	PTK2_2	36	0	0	0
UACC-812	340	PTK2_2	36	0	0	0
KU-19-19	68	PTK2_2	36	0	0	0
BT-20	192	PTK2_2	36	0	0	0
MDA-MB-436	187	PTK2_2	36	0	0	0
RKO	63	PTK2_2	36	1	0.0277777777777778	0.0158730158730159
M14	129	PTK2_2	36	0	0	0
T-24	188	PTK2_2	36	0	0	0
NCI-H2291	89	PTK2_2	36	0	0	0
SW837	104	PTK2_2	36	4	0.111111111111111	0.0384615384615385
MDA-MB-415	52	PTK2_2	36	0	0	0
VCaP	29	PTK2_2	36	0	0	0
MDA-MB-453	188	PTK2_2	36	0	0	0
HCC1143	136	PTK2_2	36	0	0	0
HCC70	180	PTK2_2	36	0	0	0
CAL-51	140	PTK2_2	36	0	0	0
22RV1	26	PTK2_2	36	0	0	0
HCC1806	140	PTK2_2	36	0	0	0
HT-1197	168	PTK2_2	36	0	0	0
KATOIII	27	Cisplatin	179	0	0	0
Hs-578-T	127	Cisplatin	179	0	0	0
CAMA-1	427	Cisplatin	179	0	0	0
MDA-MB-361	451	Cisplatin	179	0	0	0
NCI-H23	85	Cisplatin	179	0	0	0
SW780	181	Cisplatin	179	16	0.0893854748603352	0.0883977900552486
SW48	124	Cisplatin	179	0	0	0
MDA-MB-175-VII	88	Cisplatin	179	0	0	0
HT-1376	170	Cisplatin	179	16	0.0893854748603352	0.0941176470588235
CAL-148	138	Cisplatin	179	0	0	0
KMS-11	19	Cisplatin	179	0	0	0
VM-CUB-1	128	Cisplatin	179	15	0.0837988826815642	0.1171875
DMS-114	110	Cisplatin	179	0	0	0
SW948	95	Cisplatin	179	0	0	0
HCC1187	189	Cisplatin	179	0	0	0
NCI-H520	111	Cisplatin	179	0	0	0
HCC38	137	Cisplatin	179	0	0	0
MDA-MB-231	140	Cisplatin	179	0	0	0
NCI-H226	79	Cisplatin	179	0	0	0
SW620	106	Cisplatin	179	0	0	0
HCC1500	375	Cisplatin	179	0	0	0
MDA-MB-468	181	Cisplatin	179	0	0	0
NCI-H358	91	Cisplatin	179	0	0	0
HT-29	84	Cisplatin	179	0	0	0
EVSA-T	35	Cisplatin	179	0	0	0
647-V	191	Cisplatin	179	19	0.106145251396648	0.0994764397905759
NCI-H747	110	Cisplatin	179	0	0	0
NCI-H1437	89	Cisplatin	179	0	0	0
HCC1428	136	Cisplatin	179	0	0	0
NCI-H1703	118	Cisplatin	179	0	0	0
HCC1419	262	Cisplatin	179	0	0	0
NCI-H838	84	Cisplatin	179	0	0	0
NCI-H2170	77	Cisplatin	179	0	0	0
HCT-116	63	Cisplatin	179	0	0	0
NCI-H1563	65	Cisplatin	179	0	0	0
NCI-H1793	91	Cisplatin	179	0	0	0
MCF7	404	Cisplatin	179	0	0	0
HCC1395	183	Cisplatin	179	0	0	0
NCI-H1299	91	Cisplatin	179	0	0	0
COLO-205	123	Cisplatin	179	0	0	0
UM-UC-3	196	Cisplatin	179	19	0.106145251396648	0.0969387755102041
NCI-SNU-16	26	Cisplatin	179	0	0	0
BT-549	139	Cisplatin	179	0	0	0
NCI-H522	88	Cisplatin	179	0	0	0
Calu-6	87	Cisplatin	179	0	0	0
TCCSUP	193	Cisplatin	179	18	0.100558659217877	0.0932642487046632
RT4	27	Cisplatin	179	0	0	0
CAL-120	158	Cisplatin	179	0	0	0
DU-4475	125	Cisplatin	179	0	0	0
HCC1954	50	Cisplatin	179	0	0	0
NCI-H2085	90	Cisplatin	179	0	0	0
HCC1937	139	Cisplatin	179	0	0	0
LS-513	123	Cisplatin	179	0	0	0
HCC1569	52	Cisplatin	179	0	0	0
NCI-H1975	91	Cisplatin	179	0	0	0
MFM-223	138	Cisplatin	179	0	0	0
Calu-3	57	Cisplatin	179	0	0	0
BFTC-905	186	Cisplatin	179	19	0.106145251396648	0.102150537634409
J82	195	Cisplatin	179	19	0.106145251396648	0.0974358974358974
C32	76	Cisplatin	179	0	0	0
T47D	365	Cisplatin	179	0	0	0
NCI-H2228	85	Cisplatin	179	0	0	0
A549	87	Cisplatin	179	0	0	0
BT-474	435	Cisplatin	179	0	0	0
NCI-H3122	70	Cisplatin	179	0	0	0
MDA-MB-157	190	Cisplatin	179	0	0	0
SW900	87	Cisplatin	179	0	0	0
UACC-812	340	Cisplatin	179	0	0	0
KU-19-19	68	Cisplatin	179	6	0.0335195530726257	0.0882352941176471
BT-20	192	Cisplatin	179	0	0	0
MDA-MB-436	187	Cisplatin	179	0	0	0
RKO	63	Cisplatin	179	0	0	0
M14	129	Cisplatin	179	0	0	0
T-24	188	Cisplatin	179	16	0.0893854748603352	0.0851063829787234
NCI-H2291	89	Cisplatin	179	0	0	0
SW837	104	Cisplatin	179	0	0	0
MDA-MB-415	52	Cisplatin	179	0	0	0
VCaP	29	Cisplatin	179	0	0	0
MDA-MB-453	188	Cisplatin	179	0	0	0
HCC1143	136	Cisplatin	179	0	0	0
HCC70	180	Cisplatin	179	0	0	0
CAL-51	140	Cisplatin	179	0	0	0
22RV1	26	Cisplatin	179	0	0	0
HCC1806	140	Cisplatin	179	0	0	0
HT-1197	168	Cisplatin	179	16	0.0893854748603352	0.0952380952380952
KATOIII	27	PTK2	30	0	0	0
Hs-578-T	127	PTK2	30	0	0	0
CAMA-1	427	PTK2	30	0	0	0
MDA-MB-361	451	PTK2	30	0	0	0
NCI-H23	85	PTK2	30	0	0	0
SW780	181	PTK2	30	0	0	0
SW48	124	PTK2	30	3	0.1	0.0241935483870968
MDA-MB-175-VII	88	PTK2	30	0	0	0
HT-1376	170	PTK2	30	0	0	0
CAL-148	138	PTK2	30	0	0	0
KMS-11	19	PTK2	30	0	0	0
VM-CUB-1	128	PTK2	30	0	0	0
DMS-114	110	PTK2	30	0	0	0
SW948	95	PTK2	30	3	0.1	0.0315789473684211
HCC1187	189	PTK2	30	0	0	0
